genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/1Qw8MHpjYxm9Xf0O1ZfPiX,1Qw8MHpjYxm9Xf0O1ZfPiX,,Gary U.S. Bonds,39,artist,spotify:artist:1Qw8MHpjYxm9Xf0O1ZfPiX,https://open.spotify.com/artist/1Qw8MHpjYxm9Xf0O1ZfPiX,NA,13008
,https://api.spotify.com/v1/artists/5N6GwJzOcOY5kv8p0NjhYL,5N6GwJzOcOY5kv8p0NjhYL,,Neil Sedaka,60,artist,spotify:artist:5N6GwJzOcOY5kv8p0NjhYL,https://open.spotify.com/artist/5N6GwJzOcOY5kv8p0NjhYL,NA,396999
,https://api.spotify.com/v1/artists/3mCIMoeTyKjHlgNv7wFZYI,3mCIMoeTyKjHlgNv7wFZYI,,Chris Kenner,28,artist,spotify:artist:3mCIMoeTyKjHlgNv7wFZYI,https://open.spotify.com/artist/3mCIMoeTyKjHlgNv7wFZYI,NA,2321
,https://api.spotify.com/v1/artists/1mUxA8Bcd9qdMgH9uMOIQb,1mUxA8Bcd9qdMgH9uMOIQb,,Jørgen Ingmann,26,artist,spotify:artist:1mUxA8Bcd9qdMgH9uMOIQb,https://open.spotify.com/artist/1mUxA8Bcd9qdMgH9uMOIQb,NA,948
,https://api.spotify.com/v1/artists/7KjuI3MbOTaBH29yju4Lr4,7KjuI3MbOTaBH29yju4Lr4,,Linda Scott,31,artist,spotify:artist:7KjuI3MbOTaBH29yju4Lr4,https://open.spotify.com/artist/7KjuI3MbOTaBH29yju4Lr4,NA,7379
,https://api.spotify.com/v1/artists/36msvw9B10rxW90NSQ2794,36msvw9B10rxW90NSQ2794,,Johnny Tillotson,49,artist,spotify:artist:36msvw9B10rxW90NSQ2794,https://open.spotify.com/artist/36msvw9B10rxW90NSQ2794,NA,66903
,https://api.spotify.com/v1/artists/1JQYskbOoudT9cylam24a3,1JQYskbOoudT9cylam24a3,,The Marcels,46,artist,spotify:artist:1JQYskbOoudT9cylam24a3,https://open.spotify.com/artist/1JQYskbOoudT9cylam24a3,NA,39439
,https://api.spotify.com/v1/artists/4R3U54HaBxqbw1ey5lMcXQ,4R3U54HaBxqbw1ey5lMcXQ,,Troy Shondell,24,artist,spotify:artist:4R3U54HaBxqbw1ey5lMcXQ,https://open.spotify.com/artist/4R3U54HaBxqbw1ey5lMcXQ,NA,1200
,https://api.spotify.com/v1/artists/3EYYw0bxDMBYfLoBehpsNf,3EYYw0bxDMBYfLoBehpsNf,,"Clarence ""Frogman"" Henry",45,artist,spotify:artist:3EYYw0bxDMBYfLoBehpsNf,https://open.spotify.com/artist/3EYYw0bxDMBYfLoBehpsNf,NA,16609
,https://api.spotify.com/v1/artists/1m3zDfkzk9x6eUMjMM1e1f,1m3zDfkzk9x6eUMjMM1e1f,,Kokomo,14,artist,spotify:artist:1m3zDfkzk9x6eUMjMM1e1f,https://open.spotify.com/artist/1m3zDfkzk9x6eUMjMM1e1f,NA,5898
